island_code,map_name,genre
2559-8530-8915,🎯EDIT AIM PIECE PRACTICE & MECHANICS,edit-course
5153-6584-1804,🎯 AIM PRACTICE - AIM TRAINING 🎯,edit-course
8942-4322-3496,Crosshair Training (Aim Edit Piece 1v1),edit-course
6632-5555-1738,Teuzz Training V2🎯 [Full Practice],edit-course
3366-3974-5505,"PERSA TRAINING [MECHANICS, PIECE & AIM]",edit-course
9171-3143-9714,✏️EDIT PUMP WARS🎯PVP,edit-course
3738-8258-2439,"👑 1V1 + AIM, EDIT, PIECE & BOX FIGHT 🎯",edit-course
4175-6046-6184,TRAINING HUB V2 [REISSHUB],edit-course
1611-0113-8283,XEREX PRACTICE v3 - AIM EDIT PIECE,edit-course
6103-2485-0717,"OLUI - MECANICA, MIRA, PIECE V1",edit-course
6471-4432-8602,Aim Edit Piece Freebuild WARMUP PRACTICE,edit-course
6043-7919-0960,Crosshair Practice🎯(Aim Edit Piece 1v1),edit-course
